18:14:23.246900 config: drop-rate=0.00, max-delay=0s, seed=1669763663246701000
18:20:44.264779 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:20:45.266466 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:20:46.266895 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:21:01.287916 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:21:01.292505 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:21:01.294959 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delivered
18:21:01.300560 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delivered
18:24:57.789099 config: drop-rate=0.20, max-delay=10ms, seed=1
18:24:57.789637 router is listening at :3000
18:25:42.949021 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 8.7ms
18:25:42.958955 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:25:42.962155 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delayed for 5.9ms
18:25:42.968442 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:25:42.970618 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 1.8ms
18:25:42.973949 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:43.981904 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is dropped
18:25:44.974912 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is dropped
18:25:45.976488 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is dropped
18:25:46.977428 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 9.4ms
18:25:46.988719 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:47.979139 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 6.2ms
18:25:47.986288 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:48.989245 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 2.8ms
18:25:49.000332 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:49.988885 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 1.1ms
18:25:49.990401 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:50.990027 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 3.7ms
18:25:50.994133 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:51.991614 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 9.5ms
18:25:52.001696 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:52.993444 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 2.8ms
18:25:52.996818 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:53.994932 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 4.7ms
18:25:54.000406 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:54.996552 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 8.7ms
18:25:55.008518 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:25:55.998453 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delayed for 9ms
18:25:56.008028 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:26:33.168952 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 4.1ms
18:26:33.173597 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:26:33.177022 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is dropped
18:26:34.173436 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is dropped
18:26:35.173339 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 2.9ms
18:26:35.176861 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:26:35.177902 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is dropped
18:26:36.175327 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 3.1ms
18:26:36.179084 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:26:36.180025 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delayed for 2.6ms
18:26:36.183866 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:26:36.187241 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is dropped
18:26:37.188829 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delayed for 9.4ms
18:26:37.198913 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delivered
18:26:37.203994 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delayed for 3.3ms
18:26:37.208800 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delivered
18:31:34.895959 config: drop-rate=0.00, max-delay=10ms, seed=1
18:31:34.898413 router is listening at :3000
18:33:18.959457 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 8.7ms
18:33:18.983972 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delayed for 5.9ms
18:33:18.987320 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:33:18.990297 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:33:18.992273 [queue=1] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delayed for 1.8ms
18:33:18.995462 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delivered
18:33:19.003377 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delayed for 4ms
18:33:19.007873 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delivered
18:35:02.670328 [queue=1] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delayed for 0s
